Campus,% of Total - Adult,% of Total - Kid,ServiceDateTime,% of Kids to Adults
Arlington,87%,13%,1899-12-30 07:22:00,14.57%
Arlington,80%,20%,1899-12-30 09:22:00,25.52%
Arlington,79%,21%,1899-12-30 11:22:00,26.20%
Arlington,85%,15%,1899-12-30 19:22:00,17.16%
Baymeadows,80%,20%,1899-12-30 09:22:00,25.62%
Baymeadows,81%,19%,1899-12-30 11:22:00,23.11%
Baymeadows,91%,9%,1899-12-30 19:22:00,9.54%
Fleming Island,82%,18%,1899-12-30 07:22:00,21.54%
Fleming Island,79%,21%,1899-12-30 09:22:00,27.16%
Fleming Island,78%,22%,1899-12-30 11:22:00,27.46%
Fleming Island,78%,22%,1899-12-30 16:22:00,28.47%
Fleming Island,87%,13%,1899-12-30 19:22:00,14.73%
Jesup,76%,24%,1899-12-30 07:22:00,32.14%
Jesup,79%,21%,1899-12-30 09:22:00,26.28%
Jesup,75%,25%,1899-12-30 11:22:00,33.07%
Jesup,82%,18%,1899-12-30 19:22:00,21.65%
Mandarin,77%,23%,1899-12-30 09:22:00,30.63%
Mandarin,82%,18%,1899-12-30 11:22:00,22.35%
Mandarin,88%,12%,1899-12-30 19:22:00,13.67%
North Jax,88%,12%,1899-12-30 07:22:00,13.11%
North Jax,79%,21%,1899-12-30 09:22:00,26.30%
North Jax,77%,23%,1899-12-30 11:22:00,30.34%
North Jax,87%,13%,1899-12-30 19:22:00,14.93%
Orange Park,100%,,1899-12-30 07:22:00,
Orange Park,79%,21%,1899-12-30 09:22:00,26.04%
Orange Park,76%,24%,1899-12-30 11:22:00,32.07%
Orange Park,79%,21%,1899-12-30 19:22:00,27.30%
Palatka,83%,17%,1899-12-30 09:22:00,19.85%
Palatka,85%,15%,1899-12-30 11:22:00,17.19%
Palatka,83%,17%,1899-12-30 19:22:00,20.95%
Ponte Vedra,88%,12%,1899-12-30 07:22:00,14.02%
Ponte Vedra,77%,23%,1899-12-30 09:22:00,30.15%
Ponte Vedra,80%,20%,1899-12-30 11:22:00,25.29%
Ponte Vedra,100%,,1899-12-30 19:22:00,
San Pablo,92%,8%,1899-12-30 07:22:00,9.08%
San Pablo,83%,17%,1899-12-30 09:22:00,20.50%
San Pablo,87%,13%,1899-12-30 11:22:00,15.45%
San Pablo,85%,15%,1899-12-30 16:22:00,17.75%
San Pablo,92%,8%,1899-12-30 19:22:00,8.30%
St. Augustine,83%,17%,1899-12-30 09:22:00,20.29%
St. Augustine,85%,15%,1899-12-30 11:22:00,18.02%
St. Augustine,91%,9%,1899-12-30 19:22:00,9.36%
St. Johns,89%,11%,1899-12-30 07:22:00,12.85%
St. Johns,74%,26%,1899-12-30 09:22:00,34.74%
St. Johns,78%,22%,1899-12-30 11:22:00,27.72%
St. Johns,76%,24%,1899-12-30 16:22:00,32.01%
St. Johns,88%,12%,1899-12-30 19:22:00,13.23%
Wildlight,91%,9%,1899-12-30 07:22:00,9.60%
Wildlight,82%,18%,1899-12-30 09:22:00,22.47%
Wildlight,81%,19%,1899-12-30 11:22:00,22.92%
Wildlight,100%,0%,1899-12-30 19:22:00,0.00%
