date,num_date,num_week
1/7/2024,19729,1
1/14/2024,19736,2
1/21/2024,19743,3
1/28/2024,19750,4
2/4/2024,19757,5
2/11/2024,19764,6
2/18/2024,19771,7
2/25/2024,19778,8
3/3/2024,19785,9
3/10/2024,19792,10
3/17/2024,19799,11
3/24/2024,19806,12
3/31/2024,19813,13
4/7/2024,19820,14
4/14/2024,19827,15
4/21/2024,19834,16
4/28/2024,19841,17
5/5/2024,19848,18
5/12/2024,19855,19
5/19/2024,19862,20
5/26/2024,19869,21
6/2/2024,19876,22
6/9/2024,19883,23
6/16/2024,19890,24
6/23/2024,19897,25
6/30/2024,19904,26
7/7/2024,19911,27
7/14/2024,19918,28
7/21/2024,19925,29
7/28/2024,19932,30
8/4/2024,19939,31
8/11/2024,19946,32
8/18/2024,19953,33
8/25/2024,19960,34
9/1/2024,19967,35
9/8/2024,19974,36
9/15/2024,19981,37
9/22/2024,19988,38
9/29/2024,19995,39
10/6/2024,20002,40
10/13/2024,20009,41
10/20/2024,20016,42
10/27/2024,20023,43
11/3/2024,20030,44
11/10/2024,20037,45
11/17/2024,20044,46
11/24/2024,20051,47
12/1/2024,20058,48
12/8/2024,20065,49
12/15/2024,20072,50
12/22/2024,20079,51
12/29/2024,20086,52
1/5/2025,20093,1
1/12/2025,20100,2
1/19/2025,20107,3
1/26/2025,20114,4
2/2/2025,20121,5
2/9/2025,20128,6
2/16/2025,20135,7
2/23/2025,20142,8
3/2/2025,20149,9
3/9/2025,20156,10
3/16/2025,20163,11
3/23/2025,20170,12
3/30/2025,20177,13
4/6/2025,20184,14
4/13/2025,20191,15
4/20/2025,20198,16
4/27/2025,20205,17
5/4/2025,20212,18
5/11/2025,20219,19
5/18/2025,20226,20
5/25/2025,20233,21
6/1/2025,20240,22
6/8/2025,20247,23
6/15/2025,20254,24
6/22/2025,20261,25
6/29/2025,20268,26
7/6/2025,20275,27
7/13/2025,20282,28
7/20/2025,20289,29
7/27/2025,20296,30
8/3/2025,20303,31
8/10/2025,20310,32
8/17/2025,20317,33
8/24/2025,20324,34
8/31/2025,20331,35
9/7/2025,20338,36
9/14/2025,20345,37
9/21/2025,20352,38
9/28/2025,20359,39
10/5/2025,20366,40
10/12/2025,20373,41
10/19/2025,20380,42
10/26/2025,20387,43
11/2/2025,20394,44
11/9/2025,20401,45
11/16/2025,20408,46
11/23/2025,20415,47
11/30/2025,20422,48
12/7/2025,20429,49
12/14/2025,20436,50
12/21/2025,20443,51
12/28/2025,20450,52
1/4/2026,20457,1
1/11/2026,20464,2
1/18/2026,20471,3
1/25/2026,20478,4
